Codigo,data_compra,Valor Compra,Quantidade
ITSA4,25/02/2022,"9,93",25
ITSA4,02/03/2022,"9,16",51
ITSA4,19/03/2022,"9,42",5
BBSE3,06/07/2022,"25,07",30
SAPR4,06/07/2022,"3,64",100
ENBR3,01/04/2022,"23,81",20
ENBR3,01/05/2022,"20,89",50
ENBR3,30/05/2022,"21,66",50
ENBR3,04/07/2022,"20,55",50
MGLU3,20/04/2022,"5,95",20
MGLU3,20/04/2022,"5,74",5
MGLU3,02/05/2022,"4,88",100
MGLU3,30/05/2022,"3,82",1
MGLU3,30/05/2022,"3,81",99
MGLU3,15/06/2022,"2,57",7
MGLU3,21/05/2022,"2,51",5
MGLU3,04/07/2022,"2,16",30
AESB3,17/06/2022,"14,37",30
BBAS3,19/07/2022,"33,87",100
